web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655182837-4419,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Recherche appartement (1 personne) près de l’udem, hec",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/recherche-appartement-1-personne-pres-de-l-udem-hec/1618521000,Ad ID 1618521000,null,"Recherche appartement (1 personne) près de l’udem, hec","H3T 2B1, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/recherche-appartement-1-personne-pres-de-l-udem-hec/1618521000#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$900 ,HydroHeatWater,Internet,1,1 Year,01-Aug-22,null,1,Yes,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,10 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655182168-4185,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,beau et grand appartement bachelor 3 1/2 à louer à Saint-Leonard,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-et-grand-appartement-bachelor-3-1-2-a-louer-a-saint-leonard/1619696563,Ad ID 1619696563,7,beau et grand appartement bachelor 3 1/2 à louer à Saint-Leonard,"Saint Leonard, QC H1P 1L1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-et-grand-appartement-bachelor-3-1-2-a-louer-a-saint-leonard/1619696563#map,Apartment,Bedrooms: 1,Bathrooms: 1,$865 ,Not Included,Not Included,0,1 Year,09-Jun-22,null,725,No,AppliancesLaundry (In Unit)Fridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,No,Michael,11 days ago,Laundry (In Unit),Balcony,null,AmenitiesBicycle ParkingStorage Space
1655189923-6776,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,The Shaughn - 1 Bedroom 1 Bath Apartment for Rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/the-shaughn-1-bedroom-1-bath-apartment-for-rent/1571120875,Ad ID 1571120875,null,The Shaughn - 1 Bedroom 1 Bath Apartment for Rent,"1770 Joseph Manseau Street, Montreal, QC, H3H 0A8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/the-shaughn-1-bedroom-1-bath-apartment-for-rent/1571120875#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,515 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,The Shaughn,a day ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPool
1655184692-5046,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Nouveaux Appartements de Luxe de 2 Chambres à louer au Le Duke,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nouveaux-appartements-de-luxe-de-2-chambres-a-louer-au-le-duke/1560871988,Ad ID 1560871988,null,Nouveaux Appartements de Luxe de 2 Chambres à louer au Le Duke,"790 Rue William, Montreal, QC, H3C 0Y4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/nouveaux-appartements-de-luxe-de-2-chambres-a-louer-au-le-duke/1560871988#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$2,300 ",HydroHeatWater,Not Included,0,1 Year,null,null,815,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Le Duke,6 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPool24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655188212-6210,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio à louer/ for rent- Condos Locatifs-Downtown Montreal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer-for-rent-condos-locatifs-downtown-montreal/1598664440,Ad ID 1598664440,null,Studio à louer/ for rent- Condos Locatifs-Downtown Montreal,"1194 rue Labelle, Montreal, QC, H2L 4B9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer-for-rent-condos-locatifs-downtown-montreal/1598664440#map,Condo,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,350 ",HydroHeatWater,Not Included,0,1 Year,01-Mar-22,null,Not Available,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,3 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConcierge
1655189840-6748,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Appartement 3 1/2 Métro Beaudry, chauffage et électricité inclus",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-1-2-metro-beaudry-chauffage-et-electricite-inclus/1619828987,Ad ID 1619828987,3,"Appartement 3 1/2 Métro Beaudry, chauffage et électricité inclus","Montréal, QC H2L 2X8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-1-2-metro-beaudry-chauffage-et-electricite-inclus/1619828987#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,295 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,650,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceNot Included,Outdoors only,Vincent,a day ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesBicycle Parking
1655183320-4583,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 3 1/2 métro Beaubien/ Big 3 1/2 Beaubien metro station,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-metro-beaubien-big-3-1-2-beaubien-metro-station/1620024125,Ad ID 1620024125,null,Grand 3 1/2 métro Beaubien/ Big 3 1/2 Beaubien metro station,"Montréal, QC H2S 2L9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-metro-beaubien-big-3-1-2-beaubien-metro-station/1620024125#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,320 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,700,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,9 days ago,Laundry (In Unit),null,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655190052-6819,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"3 1/2 a louer - 965$ / mois - UDM, Metro CDN, Hôpital Juif",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-965-mois-udm-metro-cdn-hopital-juif/1621091048,Ad ID 1621091048,null,"3 1/2 a louer - 965$ / mois - UDM, Metro CDN, Hôpital Juif","Avenue Gatineau, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-965-mois-udm-metro-cdn-hopital-juif/1621091048#map,Apartment,Bedrooms: 1,Bathrooms: 1,$965 ,HydroHeatWater,Internet,0,1 Year,01-Aug-22,null,500,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,Outdoors only,Vinh,a day ago,null,Internet,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesStorage Space
1655186092-5509,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 5 1/2 chauffé à louer à Anjou- Dispo 1er juillet.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-chauffe-a-louer-a-anjou-dispo-1er-juillet/1620557752,Ad ID 1620557752,3,Grand 5 1/2 chauffé à louer à Anjou- Dispo 1er juillet.,"Anjou, QC H1J 1W8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-chauffe-a-louer-a-anjou-dispo-1er-juillet/1620557752#map,Duplex/Triplex,Bedrooms: 3,Bathrooms: 1,"$1,500 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,100",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,5 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat",null,null
1655184338-4927,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 à louer Montréal-Est,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-montreal-est/1620235669,Ad ID 1620235669,null,3 1/2 à louer Montréal-Est,"Montréal-Est, QC H1B 4Y6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-montreal-est/1620235669#map,Apartment,Bedrooms: 1,Bathrooms: 1,$900 ,Not Included,Not Included,0,1 Year,30-Jun-22,null,"1,500",No,AppliancesLaundry (In Unit)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Jacques Lambert,7 days ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
1655185321-5249,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Charmant 5 1/2 pour Juin ou 1er Juillet - Metro Sherbrooke,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/charmant-5-1-2-pour-juin-ou-1er-juillet-metro-sherbrooke/1620463527,Ad ID 1620463527,7,Charmant 5 1/2 pour Juin ou 1er Juillet - Metro Sherbrooke,"Montréal, QC H2W 1Y7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/charmant-5-1-2-pour-juin-ou-1er-juillet-metro-sherbrooke/1620463527#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$2,200 ",Not Included,Not Included,0,Month-to-month,01-Jul-22,null,775,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Paul,6 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesStorage Space
1655192976-7774,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 METRO COTE-VERTU (VSL) BETON-TOUT INCLUS,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1621233737,Ad ID 1621233737,null,4 1/2 METRO COTE-VERTU (VSL) BETON-TOUT INCLUS,"Saint-Laurent, QC H4R 1K4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1621233737#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,450 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,000",Yes,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceYardBalcony,No,Kijiji User,about 7 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655187710-6050,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,RENOVATED 3 1/2 Villeray / Metro Jarry,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/renovated-3-1-2-villeray-metro-jarry/1620781235,Ad ID 1620781235,null,RENOVATED 3 1/2 Villeray / Metro Jarry,"1085 Mistral, Montreal, QC, H2P 1S2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/renovated-3-1-2-villeray-metro-jarry/1620781235#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,195 ",HydroHeatWater,Not Included,0,1 Year,01-May-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,YF REALTIES,3 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",Amenities24 Hour Security
1655186286-5575,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,**Transfert de bail** 3 1/2 à louer/ lease transfer 3 1/2,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/transfert-de-bail-3-1-2-a-louer-lease-transfer-3-1-2/1620425438,Ad ID 1620425438,7,**Transfert de bail** 3 1/2 à louer/ lease transfer 3 1/2,"Rue Jean-Talon O, Montréal, QC, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/transfert-de-bail-3-1-2-a-louer-lease-transfer-3-1-2/1620425438#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,450 ",HydroHeatWater,Not Included,0,1 Year,30-Jun-22,null,626,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,5 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655190296-6900,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"5 1/2 Plateau, entièrement meublé avec jardin privé, tout inclus",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-plateau-entierement-meuble-avec-jardin-prive-tout-inclus/1621088843,Ad ID 1621088843,7,"5 1/2 Plateau, entièrement meublé avec jardin privé, tout inclus","5064 Rue Chambord, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-plateau-entierement-meuble-avec-jardin-prive-tout-inclus/1621088843#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$2,450 ",HydroHeatWater,Internet,0,1 Year,01-Aug-22,null,915,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceYard,No,Guillaume,about 21 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655182362-4254,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 4 1/2 1500$ rien d'inclu,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-4-1-2-1500-rien-dinclu/1619736106,Ad ID 1619736106,7,Grand 4 1/2 1500$ rien d'inclu,"8979 Rue d'Iberville, Montréal, QC H1Z 2R2, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-4-1-2-1500-rien-dinclu/1619736106#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,500 ",HydroHeatWater,Not Included,0,1 Year,01-Sep-22,null,"1,000",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Kijiji User,11 days ago,null,Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655189258-6556,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,5 ½ - Outremont - Campus MIL,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-outremont-campus-mil/1621000002,Ad ID 1621000002,5,5 ½ - Outremont - Campus MIL,"929 Avenue de l'Épée, Outremont, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-outremont-campus-mil/1621000002#map,Condo,Bedrooms: 3,Bathrooms: 1,"$2,200 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,922,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Adriana Houle,2 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesBicycle ParkingStorage Space
1655183727-4720,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 Petite-Patrie 1er juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-petite-patrie-1er-juillet/1620162417,Ad ID 1620162417,7,3 1/2 Petite-Patrie 1er juillet,"Montréal, QC H2S 2E3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-petite-patrie-1er-juillet/1620162417#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,275 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,500,No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,8 days ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
1655189236-6549,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio sur le Plateau,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-sur-le-plateau/1620998080,Ad ID 1620998080,2,Studio sur le Plateau,"Montréal, QC H2H 1N2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-sur-le-plateau/1620998080#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$750 ,HydroHeatWater,Internet,0,Month-to-month,01-Jul-22,null,1,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceNot Included,No,diane,2 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour Security
1655190639-7015,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"3.5, 3 1/2 à louer, apartment for rent, St-Laurent,Saint Laurent",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-3-1-2-a-louer-apartment-for-rent-st-laurent-saint-laurent/1601612482,Ad ID 1601612482,10,"3.5, 3 1/2 à louer, apartment for rent, St-Laurent,Saint Laurent","990 SAINT FRANCOIS XAVIER, Saint Laurent, QC, H4L 5E7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-3-1-2-a-louer-apartment-for-rent-st-laurent-saint-laurent/1601612482#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,125 ",Not Included,Not Included,0,1 Year,01-Aug-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,about 17 hours ago,Wheelchair accessible,Laundry (In Building),Concierge,AmenitiesConciergeBicycle ParkingElevator in Building
1655184282-4908,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 5 minutes du parc Lafontaine.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-5-minutes-du-parc-lafontaine/1620279404,Ad ID 1620279404,7,3 1/2 5 minutes du parc Lafontaine.,"H2K 4E9, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-5-minutes-du-parc-lafontaine/1620279404#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,200 ",HydroHeatWater,Not Included,0,1 Year,06-Jun-22,null,500,Yes,AppliancesLaundry (In Unit)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,7 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesStorage Space
1655189599-6669,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Petit 4 ½ sur Ave du Parc, près de Van Horne et Bernard!",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petit-4-sur-ave-du-parc-pres-de-van-horne-et-bernard/1620213097,Ad ID 1620213097,7,"Petit 4 ½ sur Ave du Parc, près de Van Horne et Bernard!","6030 Avenue du Parc, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petit-4-sur-ave-du-parc-pres-de-van-horne-et-bernard/1620213097#map,Apartment,Bedrooms: 2,Bathrooms: 1,$975 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,750,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,a day ago,null,Laundry (In Building),Concierge,AmenitiesConcierge
1655192884-7743,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,1615 dudemaine appartement à louer 4 1/2 Ahuntsic - Cartierville,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1615-dudemaine-appartement-a-louer-4-1-2-ahuntsic-cartierville/1601492364,Ad ID 1601492364,8,1615 dudemaine appartement à louer 4 1/2 Ahuntsic - Cartierville,"1615 dudemaine, montréal, QC, H3M 1R2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1615-dudemaine-appartement-a-louer-4-1-2-ahuntsic-cartierville/1601492364#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,195 ",HydroHeatWater,Not Included,0,1 Year,01-Apr-22,null,Not Available,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceNot Included,No,Kijiji User,about 11 hours ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConciergeStorage Space
1655190498-6968,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Magnifique 4 1/2 a loué, secteur Montréal Nord",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-4-1-2-a-loue-secteur-montreal-nord/1620653330,Ad ID 1620653330,null,"Magnifique 4 1/2 a loué, secteur Montréal Nord","Rue Villeneuve, Montréal-Nord, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-4-1-2-a-loue-secteur-montreal-nord/1620653330#map,Apartment,Bedrooms: 2,Bathrooms: 1,$950 ,Not Included,Not Included,1,1 Year,01-Jul-22,null,"1,200",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Kijiji User,about 18 hours ago,null,Balcony,null,AmenitiesNot Included
